id,name,job
351,Craig R. Baxley,Stunt Coordinator
352,James B. Campbell,Orchestrator
353,Charles A. Tamburro,Aerial Coordinator
354,Noel Gallagher,Music
355,Trudie Styler,Executive Producer
356,Zbigniew Preisner,Original Music Composer
357,Slawomir Idziak,Director of Photography
358,Agnieszka Holland,Author
359,Krzysztof Kieślowski,Screenplay
360,Marin Karmitz,Producer
361,Krzysztof Piesiewicz,Author
362,Glenn R. Wilder,Stunts
363,Dick Ziker,Stunts
364,Brian De Palma,Director
365,"Thomas Rosales, Jr.",Stunts
366,Mario Roberts,Stunts
367,John A. Alonzo,Director of Photography
368,Giorgio Moroder,Original Music Composer
369,Oliver Stone,Screenplay
370,Patricia Norris,Costume Design
371,Scott Wilder,Stunts
372,Ib Tardini,Producer
373,Lone Scherfig,Author
374,Kim Ki-duk,Author
375,James Newton Howard,Original Music Composer
376,Garry Marshall,Director
377,Raja Gosnell,Editor
378,J. F. Lawton,Author
379,Ethan Coen,Writer
380,Carter Burwell,Original Music Composer
381,Joel Coen,Director
382,Tim Bevan,Executive Producer
383,Eric Fellner,Executive Producer
384,Lisa Mozden,Assistant Editor
385,Woody Allen,Director
386,Letty Aronson,Producer
387,Jack Rollins,Co-Executive Producer
388,Patricia Kerrigan DiCerto,Casting
389,Art Linson,Producer
390,Bill Pankow,Editor
391,Ennio Morricone,Original Music Composer
392,Eliot Ness,Novel
393,David Mamet,Writer
394,Graham Burke,Executive Producer
395,Gabriella Pescucci,Costume Design
396,John August,Screenplay
397,Roald Dahl,Author
398,Brad Grey,Producer
399,Richard D. Zanuck,Producer
400,Bruce Berman,Executive Producer
401,Peter Jackson,Screenplay
402,J.R.R. Tolkien,Novel
403,Amy Hubbard,Casting
404,Andrew Lesnie,Director of Photography
405,Philippa Boyens,Screenplay
406,Fran Walsh,Screenplay
407,Saul Zaentz,Executive Producer
408,Dan Hennah,Set Decoration
409,Peter S. Beagle,Screenplay
410,Ralph Bakshi,Director
411,Toshio Suzuki,Producer
412,Yoshifumi Kondô,Animation Supervisor
413,Seiji Okuda,Executive Producer
414,Nizou Yamamoto,Art Direction
415,Kazuo Oga,Art Direction
416,Albert Maysles,Director
417,David Maysles,Director
418,D.A. Pennebaker,Sound Recordist
419,Philip Stockton,Dialogue Editor
420,Bob Dylan,Original Music Composer
421,Tod Browning,Director
422,Harold Ramis,Producer
423,C.O. Erickson,Executive Producer
424,George Fenton,Original Music Composer
425,Steve Boyum,Stunts
