movie_id,crew_id,role
154,466,Art Direction
154,467,Story
154,468,Story
154,469,Director
155,153,Original Music Composer
155,192,Producer
155,219,Stunt Coordinator
155,249,Associate Producer
155,250,Casting
155,251,Director of Photography
155,254,Screenplay
155,255,Author
155,375,Original Music Composer
155,470,Orchestrator
155,471,Costume Design
155,472,Story
155,473,Characters
155,474,Editor
155,475,Executive Producer
155,476,Production Design
155,477,Executive Producer
155,478,Characters
155,479,Characters
155,480,Stunts
155,481,Stunts
155,482,Stunts
156,333,Screenplay
156,373,Author
157,452,Original Music Composer
157,468,Story
157,483,Director
158,484,Producer
158,485,Producer
159,486,Director
159,487,Author
160,488,Director
161,214,Stunts
161,400,Executive Producer
161,489,Author
161,490,Foley
161,491,Director
161,492,Producer
161,493,Foley
161,494,Pilot
161,495,First Assistant Director
162,116,Makeup Department Head
162,241,Producer
162,243,Casting
162,244,Costume Design
162,247,Original Music Composer
162,496,Producer
162,497,Editor
163,400,Executive Producer
163,489,Author
163,491,Director
163,492,Producer
163,495,First Assistant Director
163,498,Thanks
163,499,Utility Stunts
163,500,Screenplay
164,501,Costume Supervisor
164,502,Director
164,503,Author
164,504,Original Music Composer
165,15,Original Music Composer
165,39,Director
165,41,Production Design
165,237,Director
165,238,Producer
165,287,Producer
165,341,Producer
165,343,Director of Photography
166,505,Author
166,506,Author
166,507,Original Music Composer
167,348,Producer
167,508,Director
168,468,Story
168,469,Director
168,483,Director
169,14,Executive Producer
169,15,Original Music Composer
169,16,Director
169,257,Production Design
169,347,Producer
169,348,Producer
169,352,Orchestrator
169,509,Pilot
169,510,ADR Editor
170,429,Director of Photography
170,511,Screenplay
170,512,Director
170,513,Musical
171,505,Author
171,506,Author
171,507,Original Music Composer
171,514,Original Music Composer
172,455,Original Music Composer
172,468,Story
172,515,Director
173,516,Director
173,517,Novel
173,518,Producer
173,519,Original Music Composer
173,520,Production Design
174,469,Director
174,521,Producer
175,82,Original Music Composer
175,84,Story
176,230,Special Effects Supervisor
176,522,Writer
176,523,Story
176,524,Editor
177,191,Director of Photography
177,193,Director
177,424,Original Music Composer
177,525,Set Decoration
177,526,Writer
178,15,Original Music Composer
178,16,Director
179,187,Camera Operator
179,240,Foley
179,375,Original Music Composer
179,382,Executive Producer
179,383,Executive Producer
179,527,Author
179,528,Author
179,529,Executive Producer
179,530,Script Supervisor
179,531,Producer
179,532,Executive Producer
180,19,Original Music Composer
180,23,Sound Designer
180,42,Leadman
180,55,Script Supervisor
180,113,Pilot
180,178,Casting
180,233,Director of Photography
180,234,Editor
180,237,Director
180,261,Thanks
180,528,Author
180,533,Unit Production Manager
180,534,First Assistant Director
180,535,Producer
180,536,Associate Producer
180,537,Stunt Coordinator
180,538,Producer
180,539,Makeup Effects
180,540,Original Music Composer
182,38,Original Music Composer
182,490,Foley
182,491,Director
182,493,Foley
182,541,Screenplay
182,542,Set Costumer
183,543,Director
184,6,Writer
184,9,Editor
184,11,Director of Photography
184,13,Producer
184,544,Novel
185,184,Screenplay
185,545,Novel
186,546,Producer
186,547,Casting
186,548,Director
187,5,Writer
187,6,Writer
187,119,Executive Producer
187,120,Executive Producer
187,280,Original Music Composer
187,549,Writer
187,550,Original Music Composer
187,551,Casting
187,552,Stunt Coordinator
187,553,Utility Stunts
187,554,Digital Effects Supervisor
187,555,Producer
187,556,Still Photographer
187,557,Production Coordinator
187,558,Additional Music
189,5,Writer
189,119,Executive Producer
189,120,Executive Producer
189,549,Writer
189,551,Casting
189,552,Stunt Coordinator
189,556,Still Photographer
189,559,Visual Effects Supervisor
189,560,Producer
192,395,Costume Design
192,452,Original Music Composer
192,561,Writer
192,562,Screenplay
192,563,Director of Photography
192,564,Production Design
192,565,Casting
192,566,Casting
192,567,Director
193,367,Director of Photography
193,568,Casting
193,569,Casting
193,570,Screenplay
193,571,Director
194,572,Stunts
194,573,Director of Photography
194,574,Author
195,575,Producer
196,15,Original Music Composer
196,39,Director
196,41,Production Design
196,237,Director
196,238,Producer
196,287,Producer
196,341,Producer
196,343,Director of Photography
197,293,Set Decoration
197,452,Original Music Composer
197,476,Production Design
197,576,Producer
197,577,Screenplay
197,578,Producer
197,579,Stunt Coordinator
198,575,Producer
198,580,Author
198,581,Producer
198,582,Director of Photography
199,455,Original Music Composer
199,568,Casting
199,569,Casting
199,570,Screenplay
199,583,Screenplay
199,584,Director
200,455,Original Music Composer
200,568,Casting
200,569,Casting
200,584,Director
200,585,Additional Soundtrack
200,586,Producer
201,325,Screenplay
201,455,Original Music Composer
201,568,Casting
201,587,Director
203,337,Director
203,588,Original Music Composer
204,589,Screenplay
204,590,Producer
205,469,Director
205,591,Screenplay
205,592,Assistant Director
207,593,Director
207,594,Director of Photography
207,595,Original Music Composer
212,596,Producer
212,597,Special Effects
212,598,Producer
212,599,Special Effects
213,67,Original Music Composer
213,309,Title Graphics
213,597,Special Effects
213,600,Editor
213,601,Producer
213,602,Art Direction
214,522,Writer
214,524,Editor
214,603,Director
214,604,Casting
215,522,Writer
215,523,Story
215,524,Editor
215,603,Director
215,604,Casting
216,605,Original Music Composer
217,18,Director
217,19,Original Music Composer
217,233,Director of Photography
217,234,Editor
217,236,Author
217,237,Director
217,238,Producer
217,287,Producer
217,288,Story
217,606,Makeup Artist
218,313,Producer
218,362,Stunts
218,607,Stunts
218,608,Dialogue
218,609,Director of Photography
218,610,Thanks
218,611,Executive Producer
218,612,Director
218,613,Foley
219,94,Executive Producer
219,95,Executive Producer
219,195,Original Music Composer
220,49,Director of Photography
220,614,Producer
220,615,Assistant Director
220,616,Author
221,617,Author
222,88,Director of Photography
222,90,Director of Photography
223,601,Producer
223,618,Second Unit
223,619,Director of Photography
223,620,Novel
224,621,Producer
225,621,Producer
226,622,Casting
226,623,Casting
226,624,Producer
226,625,Director
226,626,Casting
227,134,Director
227,136,Original Music Composer
228,92,Producer
228,627,Author
229,426,Producer
229,628,Director
231,74,Casting
231,491,Director
231,629,Executive Producer
231,630,Screenplay
231,631,Producer
231,632,Producer
231,633,Original Music Composer
231,634,Casting
231,635,Book
232,134,Director
232,636,Original Music Composer
233,288,Story
233,335,Director of Photography
233,637,Novel
233,638,Producer
233,639,Casting
234,92,Producer
234,640,Original Music Composer
235,641,Casting
235,642,Novel
235,643,Director
236,644,Producer
236,645,Director
237,646,Casting
237,647,Director
237,648,Producer
237,649,Original Music Composer
238,134,Director
238,553,Utility Stunts
238,650,Screenplay
238,651,Director of Photography
238,652,Original Music Composer
238,653,Executive Producer
238,654,Stunt Coordinator
239,654,Stunt Coordinator
239,655,Screenplay
239,656,Stunts
239,657,Director of Photography
240,134,Director
240,136,Original Music Composer
240,650,Screenplay
240,651,Director of Photography
240,652,Original Music Composer
240,653,Executive Producer
240,658,Thanks
240,659,Unit Manager
240,660,Makeup Artist
241,6,Writer
241,117,Director of Photography
241,369,Screenplay
241,622,Casting
241,661,Original Music Composer
241,662,Original Music Composer
242,134,Director
242,136,Original Music Composer
242,641,Casting
242,650,Screenplay
242,651,Director of Photography
242,663,Stunt Coordinator
243,182,Original Music Composer
243,243,Casting
243,382,Executive Producer
243,664,Screenplay
243,665,Screenplay
243,666,Screenplay
243,667,Director of Photography
243,668,Author
243,669,Director
244,670,Director
244,671,Producer
245,382,Executive Producer
245,383,Executive Producer
245,668,Author
245,672,Director
245,673,Director
245,674,Producer
245,675,Screenplay
245,676,Producer
246,677,Screenplay
247,184,Screenplay
247,678,Dialogue
248,598,Producer
249,155,Producer
249,206,Producer
249,679,Original Music Composer
249,680,Director
250,333,Screenplay
251,595,Original Music Composer
251,609,Director of Photography
251,641,Casting
251,681,Producer
251,682,Director
251,683,Animation
251,684,Stunt Coordinator
252,397,Author
252,685,Director
252,686,Producer
253,687,Art Direction
253,688,Art Direction
253,689,Songs
253,690,Original Music Composer
253,691,Director
253,692,Screenplay
253,693,Novel
253,694,Producer
254,375,Original Music Composer
254,401,Screenplay
254,404,Director of Photography
254,405,Screenplay
254,406,Screenplay
254,408,Set Decoration
254,695,Hair Designer
255,447,Producer
255,696,Producer
256,447,Producer
256,697,Original Music Composer
257,698,Costume Design
257,699,Director
257,700,Novel
257,701,Screenplay
257,702,Producer
257,703,Director of Photography
257,704,Original Music Composer
258,447,Producer
258,696,Producer
258,705,Director of Photography
259,447,Producer
259,697,Original Music Composer
259,705,Director of Photography
259,706,Original Music Composer
259,707,Author
260,601,Producer
260,708,Producer
260,709,Novel
261,710,Director
261,711,Theatre Play
261,712,Original Music Composer
262,206,Producer
262,337,Director
262,713,Original Music Composer
262,714,Editor
265,605,Original Music Composer
265,715,Director of Photography
266,697,Original Music Composer
266,716,Screenplay
266,717,Producer
266,718,Director of Photography
266,719,Novel
267,94,Executive Producer
267,95,Executive Producer
267,195,Original Music Composer
268,191,Director of Photography
268,241,Producer
268,247,Original Music Composer
268,473,Characters
268,720,Casting
268,721,Producer
268,722,Producer
269,447,Producer
269,716,Screenplay
269,718,Director of Photography
271,723,Director
271,724,Author
272,153,Original Music Composer
272,192,Producer
272,249,Associate Producer
272,250,Casting
272,251,Director of Photography
272,254,Screenplay
272,276,Helicopter Camera
272,375,Original Music Composer
272,471,Costume Design
272,472,Story
272,473,Characters
272,474,Editor
272,475,Executive Producer
272,476,Production Design
272,481,Stunts
272,725,Stunts
272,726,Thanks
272,727,Stunts
272,728,Thanks
274,182,Original Music Composer
274,244,Costume Design
274,729,Stunts
274,730,Executive Producer
274,731,Production Design
274,732,Unit Production Manager
274,733,Stunts
274,734,Director
274,735,Casting
275,129,Director of Photography
275,379,Writer
275,380,Original Music Composer
275,381,Director
276,736,Editor
277,224,Executive Producer
277,540,Original Music Composer
277,547,Casting
277,737,Director
277,738,Associate Producer
277,739,Story
277,740,Creature Design
278,38,Original Music Composer
278,129,Director of Photography
278,547,Casting
278,642,Novel
278,741,Assistant Director
278,742,Executive Producer
278,743,Writer
279,297,Casting
279,407,Executive Producer
279,565,Casting
279,744,Costume Design
279,745,Production Design
