id,imdb_id,title,budget,genre,original_language,overview,popularity,release_date,revenue,runtime,vote_average,vote_count
101,tt0110413,Leon: The Professional,16000000.0,53.0,fr,"Leon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Leon's footsteps.",20.477329,14/09/1994,45284974.0,110,8.2,4293
102,tt0315543,Open Hearts,,18.0,da,"Cecilie and Joachim are about to get married when a freak car accident leaves Joachim disabled, throwing their lives into a spin. The driver of the other car, Marie, and her family don",6.818513,06/09/2002,,113,6.8,27
103,tt0075314,Taxi Driver,1300000.0,80.0,en,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",14.092713,07/02/1976,28262574.0,114,8.1,2632
104,tt0130827,Run Lola Run,1530000.0,28.0,de,"Lola receives a phone call from her boyfriend Manni. He lost 100,000 DM in a subway train that belongs to a very bad guy. She has 20 minutes to raise this amount and meet Manni. Otherwise, he will rob a store to get the money. Three different alternatives may happen depending on some minor event along Lola's run.",7.765379,20/08/1998,7267585.0,81,7.2,672
105,tt0088763,Back to the Future,19000000.0,12.0,en,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",25.778509,03/07/1985,381109762.0,116,8.0,6239
106,tt0093773,Predator,18000000.0,878.0,en,"Dutch and his group of commandos are hired by the CIA to rescue downed airmen from guerillas in a Central American jungle. The mission goes well but as they return they find that something is hunting them. Nearly invisible, it blends in with the forest, taking trophies from the bodies of its victims as it goes along. Occasionally seeing through its eyes, the audience sees it is an intelligent alien hunter, hunting them for sport, killing them off one at a time.",18.495694,11/06/1987,98235548.0,107,7.3,2129
107,tt0208092,Snatch,10000000.0,53.0,en,"The second film from British director Guy Ritchie. Snatch tells an obscure story similar to his first fast-paced crazy character-colliding filled film Lock, Stock and Two Smoking Barrels.",14.014025,01/09/2000,83557872.0,103,7.7,2953
108,tt0108394,Three Colors: Blue,,18.0,fr,A woman struggles to find a way to live her life after the death of her husband and child.,8.843517,10/01/1993,,98,7.7,311
109,tt0111507,Three Colors: White,,35.0,fr,"Polish immigrant Karol Karol finds himself out of a marriage, a job and a country when his French wife, Dominique, divorces him after six months due to his impotence. Forced to leave France after losing the business they jointly owned, Karol enlists fellow Polish expatriate Mikolah to smuggle him back to their homeland.",6.5898,26/01/1994,,91,7.3,218
110,tt0111495,Three Colors: Red,,18.0,fr,Red This is the third film from the trilogy by Kielowski. ,7.832755,27/05/1994,,99,7.8,246
111,tt0086250,Scarface,25000000.0,28.0,en,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",11.299673,08/12/1983,65884703.0,170,8.0,3017
112,tt0243862,Italian for Beginners,,35.0,da,"This fifth Danish Dogme film is about six vulnerable individuals whose lives are interwoven. In a city suburb, a young minister arrives to take up duties at a local church. He is persuaded by his assistant to join an Italian night school class, and he soon becomes the centre of a group of people to whom fate has dealt quite serious blows. Gradually each one in the group manages to overcome his/her predicament and find a happy solution. This Dogma production was shown at the Berlinale in 2001 where it surprisingly won a silver medal.",5.396508,07/12/2000,,112,6.5,33
113,tt0374546,"Spring, Summer, Fall, Winter... and Spring",,18.0,ko,"This South Korean film takes place on an isolated lake, where an old monk lives in a small floating temple. The monk has a young boy living with him, learning to become a monk. We watch as seasons and years pass by.",8.157887,19/09/2003,6502364.0,103,7.6,240
114,tt0100405,Pretty Woman,14000000.0,10749.0,en,"When millionaire wheeler-dealer Edward Lewis enters a business contract with Hollywood hooker Vivian Ward, he loses his heart in the bargain in this charming romantic comedy. After Edward hires Vivian as his date for a week and gives her a Cinderella makeover, she returns the favor by mellowing the hardnosed tycoon's outlook. Can the poor prostitute and the rich capitalist live happily ever after?",13.348451,23/03/1990,463000000.0,119,7.0,1807
115,tt0118715,The Big Lebowski,15000000.0,35.0,en,"Jeffrey ""The Dude"" Lebowski, a Los Angeles slacker who only wants to bowl and drink white Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.",15.952524,06/03/1998,46189568.0,117,7.8,3001
116,tt0416320,Match Point,15000000.0,18.0,en,Match Point is Woody Allens satire of the British High Society and the ambition of a young tennis instructor to enter into it. Yet when he must decide between two women - one assuring him his place in hi,9.020372,26/10/2005,85306374.0,124,7.2,1134
117,tt0094226,The Untouchables,25000000.0,80.0,en,"Young Treasury Agent Elliot Ness arrives in Chicago and is determined to take down Al Capone, but it's not going to be easy because Capone has the police in his pocket. Ness meets Jimmy Malone, a veteran patrolman and probably the most honorable one on the force. He asks Malone to help him get Capone, but Malone warns him that if he goes after Capone, he is going to war.",11.062203,02/06/1987,76270454.0,119,7.6,1424
118,tt0367594,Charlie and the Chocolate Factory,150000000.0,12.0,en,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",22.038405,13/07/2005,474968763.0,115,6.7,3759
120,tt0120737,The Lord of the Rings: The Fellowship of the Ring,93000000.0,12.0,en,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",32.070725,18/12/2001,871368364.0,178,8.0,8892
121,tt0167261,The Lord of the Rings: The Two Towers,79000000.0,12.0,en,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",29.423537,18/12/2002,926287400.0,179,8.0,7641
122,tt0167260,The Lord of the Rings: The Return of the King,94000000.0,12.0,en,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",29.324358,01/12/2003,1118888979.0,201,8.1,8226
123,tt0077869,The Lord of the Rings,4000000.0,14.0,en,The Fellowship of the Ring embark on a journey to destroy the One Ring and end Sauron's reign over Middle-earth.,7.914795,15/11/1978,30471420.0,132,6.1,187
124,tt0086961,No End,,18.0,pl,"Taking place in a 1982 Poland a translator loses her husband and becomes a victim of her own sorrow. She looks to sex, to her son, to law, and to hypnotism when she has nothing else in this time of martial law when Solidarity was banned.",3.256676,17/06/1985,,109,7.0,5
127,tt0084549,Blind Chance,,18.0,pl,Witek runs after a train. Three variations follow on how such a seemingly banal incident could influence the rest of Witek's life.,3.208221,10/01/1987,,123,7.7,29
128,tt0119698,Princess Mononoke,26500000.0,12.0,ja,"Ashitaka, a prince of the disappearing Ainu tribe, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",17.166725,12/07/1997,159375308.0,134,8.2,2041
129,tt0245429,Spirited Away,15000000.0,14.0,ja,A ten year old girl who wanders away from her parents along a path that leads to a world ruled by strange and unusual monster-like animals. Her parents have been changed into pigs along with others inside a bathhouse full of these creatures. Will she ever see the world how it once was?,41.048867,20/07/2001,274925095.0,125,8.3,3968
